municipality_name|municipality_id|comerce_transport_catering|communication|construction|finances_insurance|industry|personal_services|professional_tecnical_activities|real_estate|social_services|total|total_services
Alcañizo|45005||||||||||10.0|
Alcoba|13006||||||||||35.0|
Alcobendas|28006|2767.0|559.0|1035.0|411.0|674.0|788.0|2863.0|774.0|878.0|10749.0|6273.0
Alcocer|19009||||||||||20.0|
Alcolea|4007||||||||||34.0|
Alcolea de Calatrava|13007|21.0||19.0||6.0|||||58.0|12.0
Alcolea de Cinca|22017|45.0||16.0||10.0|||||91.0|20.0
Alcolea de Tajo|45007||||||||||31.0|
Alcolea del Pinar|19011||||||||||18.0|
Alcolea del Río|41006|75.0||17.0||7.0|||||129.0|30.0
Alcoleja|3008||||||||||10.0|
Alcoletge|25012|91.0||58.0||25.0|||||245.0|71.0
Alcollarín|10009||||||||||8.0|
Alconaba|42006||||||||||8.0|
Alconada|37012||||||||||5.0|
Alconchel|6007|42.0|||||||||71.0|16.0
Alconchel de la Estrella|16012||||||||||7.0|
Alconera|6008||||||||||25.0|
Alcora, l'|12005|277.0||83.0||110.0|70.0|82.0|24.0|41.0|698.0|228.0
Alcorcón|28007|3438.0|254.0|1179.0|208.0|412.0|901.0|1615.0|461.0|779.0|9247.0|4218.0
Alcorisa|44014|84.0||40.0||25.0|||||240.0|91.0
Alcoroches|19013||||||||||11.0|
Alcosser|3007||||||||||20.0|
Alcover|43005|121.0||66.0||37.0|39.0|30.0|14.0|19.0|331.0|107.0
Alcoy/Alcoi|3009|1317.0|83.0|445.0|103.0|348.0|401.0|657.0|215.0|343.0|3912.0|1802.0
Alcubierre|22018||||||||||20.0|
Alcubilla de Nogales|49004||||||||||4.0|
Alcubilla de las Peñas|42008||||||||||10.0|
Alcubillas|13008||||||||||19.0|
Alcublas|46018||||||||||30.0|
Alcudia de Veo|12006||||||||||7.0|
Alcuéscar|10010|63.0||17.0||7.0|||||114.0|27.0
Alcàntera de Xúquer|46016|31.0||14.0||4.0|||||69.0|20.0
Alcàsser|46015|268.0|12.0|102.0|15.0|73.0|53.0|99.0|36.0|27.0|685.0|242.0
Alcántara|10008|39.0||11.0||7.0|||||82.0|25.0
Alcázar de San Juan|13005|683.0|25.0|185.0|46.0|131.0|252.0|320.0|61.0|207.0|1910.0|911.0
Alcázar del Rey|16010||||||||||10.0|
Alcázares, Los|30902|353.0|11.0|138.0|11.0|34.0|92.0|112.0|91.0|39.0|881.0|356.0
Alcóntar|4008||||||||||27.0|
Alcúdia|7003|543.0|14.0|207.0|24.0|54.0|118.0|270.0|127.0|75.0|1432.0|628.0
Alcúdia de Crespins, l'|46020|131.0|5.0|38.0|9.0|38.0|30.0|36.0|11.0|21.0|319.0|112.0
