distance|iqid|vqid|maxradius
29.195|Q17482126|Q11918302|30.0
21.203|Q11918567|Q11918302|30.0
18.69|Q11947393|Q11918302|30.0
22.103|Q17481682|Q11918302|30.0
19.81|Q17482844|Q11918302|30.0
20.553|Q17482952|Q11918302|30.0
21.807|Q17483597|Q11918302|30.0
22.259|Q17483602|Q11918302|30.0
19.714|Q17617667|Q11918302|30.0
29.576|Q11918430|Q11918302|30.0
29.032|Q11948885|Q11918302|30.0
29.316|Q11949009|Q11918302|30.0
29.158|Q17483193|Q11918302|30.0
26.607|Q17483492|Q11918302|30.0
26.004|Q17483765|Q11918302|30.0
27.371|Q17483859|Q11918302|30.0
14.146|Q11946072|Q11918302|30.0
20.474|Q17482846|Q11918302|30.0
27.328|Q11945860|Q11918302|30.0
26.796|Q11945904|Q11918302|30.0
21.998|Q11947662|Q11918302|30.0
21.446|Q11949111|Q11918302|30.0
25.121|Q11953570|Q11918302|30.0
27.614|Q17481909|Q11918302|30.0
29.215|Q17483708|Q11918302|30.0
20.454|Q11948897|Q11918302|30.0
19.856|Q11949078|Q11918302|30.0
19.945|Q11949215|Q11918302|30.0
14.888|Q17482101|Q11918302|30.0
14.983|Q64828065|Q11918302|30.0
21.175|Q11918626|Q11918302|30.0
25.858|Q11930488|Q11918302|30.0
23.536|Q11948973|Q11918302|30.0
18.685|Q11948987|Q11918302|30.0
20.016|Q11949436|Q11918302|30.0
22.404|Q11949441|Q11918302|30.0
17.745|Q17483256|Q11918302|30.0
27.394|Q11945873|Q11918302|30.0
23.745|Q11952864|Q11918302|30.0
24.026|Q17483470|Q11918302|30.0
28.756|Q17481384|Q11918302|30.0
28.883|Q17483509|Q11918302|30.0
27.546|Q11918575|Q11918302|30.0
27.348|Q17483594|Q11918302|30.0
29.637|Q11909804|Q11918302|30.0
26.97|Q11918622|Q11918302|30.0
25.579|Q11946987|Q11918302|30.0
24.907|Q11953697|Q11918302|30.0
29.074|Q11953725|Q11918302|30.0
28.315|Q11918952|Q11918302|30.0
21.503|Q11948920|Q11918302|30.0
26.559|Q11948946|Q11918302|30.0
25.473|Q11949054|Q11918302|30.0
23.803|Q11949068|Q11918302|30.0
22.661|Q11949091|Q11918302|30.0
28.317|Q11949332|Q11918302|30.0
24.65|Q11949369|Q11918302|30.0
25.965|Q11949412|Q11918302|30.0
